"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20012851,"09/01/2022 11:04:00 PM","09/01/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","ELM AVE AND AVENUE K, LANCASTER, CA","ELM AVE AND AVENUE K","LANCASTER",,"922-15213-1124","1124","15213","NO","CA0190024","LANCASTER",-118.14,34.675,2
20008956,"08/29/2022 12:35:00 AM","08/29/2022","WEAPON LAWS","153","WEAPON LAWS: Shooting, Unlawful","11900 ARKANSAS ST, ARTESIA, CA","11900 ARKANSAS ST","ARTESIA",,"922-17061-1348","1348","17061","NO","CA0190013","LAKEWOOD",-118.079,33.879,2
20012852,"09/01/2022 10:45:00 PM","09/01/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","ELM AVE AND AVENUE K, LANCASTER, CA","ELM AVE AND AVENUE K","LANCASTER",,"922-15214-1124","1124","15214","NO","CA0190024","LANCASTER",-118.14,34.675,2
20010066,"08/30/2022 08:55:00 AM","08/30/2022","AGGRAVATED ASSAULT","051","ASSAULT, AGGRAVATED: ADW - GUN","2500 E AVENUE S, PALMDALE, CA","2500 E AVENUE S","PALMDALE",,"022-11606-2603","2603","11606","NO","CA01900W9","PALMDALE",-118.084,34.557,1
19988452,"08/07/2022 02:32:30 AM","08/07/2022","AGGRAVATED ASSAULT","053","ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON","200 ALONDRA BLVD, CARSON, CA","200 ALONDRA BLVD","CARSON",,"022-07911-1610","1610","07911","NO","CA0190016","CARSON",-118.273,33.884,1
19993038,"08/09/2022 06:30:00 PM","08/11/2022","VANDALISM","261","VANDALISM MISD","200 E AVENUE R, PALMDALE, CA 93550","200 E AVENUE R","PALMDALE","93550","922-10571-2611","2611","10571","NO","CA01900W9","PALMDALE",-118.127,34.571,2
20002961,"08/22/2022 10:23:00 PM","08/22/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","23300 LYONS AVE, SANTA CLARITA, CA 91321","23300 LYONS AVE","SANTA CLARITA","91321","922-11842-0624","0624","11842","NO","CA0190006","SANTA CLARITA VALLEY",-118.542,34.38,2
19996183,"08/15/2022 02:35:00 AM","08/15/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","17300 BELLFLOWER BLVD, BELLFLOWER, CA","17300 BELLFLOWER BLVD","BELLFLOWER",,"922-16102-1335","1335","16102","NO","CA0190013","LAKEWOOD",-118.125,33.875,2
19993072,"08/11/2022 03:00:00 PM","08/11/2022","LARCENY THEFT","342","VEHICLE BURGLARY: Truck/Cargo Van Burglary","NOGALES AND VALLEY, INDUSTRY, CA","NOGALES AND VALLEY","INDUSTRY",,"922-08865-1418","1418","08865","NO","CA0190014","INDUSTRY",-117.887,34.003,1
19990297,"08/08/2022 07:30:00 PM","08/08/2022","NON-AGGRAVATED ASSAULTS","146","ASSAULT, NON-AGGRAVATED: DOMESTIC VIOLENCE","200 BEACON ST, AVALON, CA 90704","200 BEACON ST","AVALON","90704","022-00262-1811","1811","00262","NO","CA0190018","AVALON",-118.328,33.342,2
